Reflection Zoneplate 1_RN;Reflection Zoneplate 1_RS;Reflection Zoneplate 1_RO;Reflection Zoneplate 1_OX;Reflection Zoneplate 1_OY;Reflection Zoneplate 1_OZ;Reflection Zoneplate 1_DX;Reflection Zoneplate 1_DY;Reflection Zoneplate 1_DZ;Reflection Zoneplate 1_EN;Reflection Zoneplate 1_PL;Reflection Zoneplate 1_S0;Reflection Zoneplate 1_S1;Reflection Zoneplate 1_S2;Reflection Zoneplate 1_S3
76;2;1;0.81041894323128400;0.00000000000000000;40.01926814355730000;-0.00713096605404009;0.05244088788061050;0.99859856929670700;100.00000000000000000;39.96580562428040000;1;1;0;0
77;2;1;-0.86755982592799900;-0.00000000000000044;40.24431427847130000;0.00762639627944046;0.05233329657399000;0.99860055284857900;100.00000000000000000;40.19058003737700000;1;1;0;0
78;2;1;-2.59029815185377000;0.00000000000000000;37.60147308216750000;0.02308839798156550;0.04443436947101520;0.99874546942069200;100.00000000000000000;37.55283019575060000;1;1;0;0
79;2;1;-4.35208462808030000;0.00000000000000022;31.88701345244640000;0.04003031534219810;0.01491357103056040;0.99908716299065700;100.00000000000000000;31.84924250213230000;1;1;0;0
89;2;1;2.50582932667698000;0.00000000000000000;10.88857895054750000;-0.02640580350964460;0.03998660565219110;0.99885124263296900;100.00000000000000000;10.87547722394490000;1;1;0;0
90;2;1;0.84712577474377000;0.00000000000000011;13.88822159816320000;-0.00873920180712321;0.05155966103735150;0.99863167769978500;100.00000000000000000;13.86953090898650000;1;1;0;0
91;2;1;-0.86546677115914800;-0.00000000000000022;13.97318357938140000;0.00892371079017027;0.05150923618049330;0.99863264816139300;100.00000000000000000;13.95438614406520000;1;1;0;0
92;2;1;-2.62630999689681000;-0.00000000000000011;10.93776614782450000;0.02766964505187880;0.03852058507399040;0.99887464442154100;100.00000000000000000;10.92475629296220000;1;1;0;0
103;2;1;2.55320446955001000;0.00000000000000011;-18.64858161295820000;-0.03494087404652930;0.02092967516031830;0.99917019772336500;100.00000000000000000;-18.62095193735920000;1;1;0;0
104;2;1;0.86388371205552100;0.00000000000000022;-15.58894187898140000;-0.01145334905480820;0.04909731697375640;0.99872832855657300;100.00000000000000000;-15.56718715522240000;1;1;0;0
105;2;1;-0.88389468104431500;0.00000000000000000;-15.71235195674850000;0.01173419681587280;0.04896825548452310;0.99873140462282900;100.00000000000000000;-15.69041627153910000;1;1;0;0
106;2;1;-2.68383569894207000;0.00000000000000000;-19.25743991968960000;0.03697370125660260;0.01300063317548930;0.99923166931018700;100.00000000000000000;-19.22878117982830000;1;1;0;0
118;2;1;0.85305142498458200;-0.00000000000000044;-49.19191541414960000;-0.01787895849151460;0.03687954317686880;0.99915976807431800;100.00000000000000000;-49.12244645002670000;1;1;0;0
119;2;1;-0.93005082113563700;0.00000000000000000;-49.62110345992490000;0.01964863964619260;0.03487204949276170;0.99919861445271700;100.00000000000000000;-49.55097923019460000;1;1;0;0
